<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
USD000000TOD,0,20131204,100918,33.260500000,100000
USD000000TOD,0,20131204,100918,33.260000000,2000
USD000000TOD,0,20131204,100952,33.261000000,285000
USD000000TOD,0,20131204,100955,33.261000000,982000
USD000000TOD,0,20131204,101004,33.260000000,44000
USD000000TOD,0,20131204,101004,33.260000000,56000
USD000000TOD,0,20131204,101004,33.261000000,300000
USD000000TOD,0,20131204,101006,33.261000000,100000
USD000000TOD,0,20131204,101008,33.261000000,200000
USD000000TOD,0,20131204,101008,33.261000000,229000
USD000000TOD,0,20131204,101008,33.262000000,385000
USD000000TOD,0,20131204,101009,33.261000000,38000
USD000000TOD,0,20131204,101011,33.261000000,462000
USD000000TOD,0,20131204,101011,33.261000000,38000
USD000000TOD,0,20131204,101011,33.265000000,100000
USD000000TOD,0,20131204,101031,33.260000000,44000
USD000000TOD,0,20131204,101031,33.260000000,31000
USD000000TOD,0,20131204,101036,33.260000000,25000
USD000000TOD,0,20131204,101047,33.261500000,1000000
USD000000TOD,0,20131204,101047,33.262500000,500000
USD000000TOD,0,20131204,101047,33.262500000,400000
USD000000TOD,0,20131204,101047,33.262500000,100000
USD000000TOD,0,20131204,101047,33.258000000,15000
USD000000TOD,0,20131204,101047,33.258000000,21000
USD000000TOD,0,20131204,101048,33.262500000,200000
USD000000TOD,0,20131204,101048,33.262500000,230000
USD000000TOD,0,20131204,101048,33.262500000,50000
USD000000TOD,0,20131204,101053,33.260000000,100000
USD000000TOD,0,20131204,101055,33.264500000,75000
USD000000TOD,0,20131204,101055,33.264500000,25000
USD000000TOD,0,20131204,101124,33.261500000,75000
USD000000TOD,0,20131204,101128,33.260000000,150000
USD000000TOD,0,20131204,101128,33.260000000,86000
USD000000TOD,0,20131204,101129,33.259500000,136000
USD000000TOD,0,20131204,101129,33.260000000,64000
USD000000TOD,0,20131204,101130,33.259000000,30000
USD000000TOD,0,20131204,101130,33.259000000,68000
USD000000TOD,0,20131204,101130,33.259000000,7000
USD000000TOD,0,20131204,101130,33.259000000,200000
USD000000TOD,0,20131204,101130,33.259000000,16000
USD000000TOD,0,20131204,101130,33.259000000,209000
USD000000TOD,0,20131204,101133,33.259500000,30000
