<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,123600,33.2465000,33.2470000,33.2405000,33.2410000,3145000
USD000000TOD,1,20131204,123700,33.2415000,33.2415000,33.2415000,33.2415000,54000
USD000000TOD,1,20131204,123800,33.2430000,33.2430000,33.2310000,33.2310000,4340000
USD000000TOD,1,20131204,123900,33.2305000,33.2355000,33.2290000,33.2350000,3849000
USD000000TOD,1,20131204,124000,33.2350000,33.2350000,33.2350000,33.2350000,5000
USD000000TOD,1,20131204,124100,33.2310000,33.2350000,33.2310000,33.2345000,987000
USD000000TOD,1,20131204,124200,33.2345000,33.2380000,33.2345000,33.2380000,491000
USD000000TOD,1,20131204,124300,33.2405000,33.2460000,33.2380000,33.2380000,5003000
USD000000TOD,1,20131204,124400,33.2400000,33.2430000,33.2375000,33.2380000,2506000
USD000000TOD,1,20131204,124500,33.2355000,33.2410000,33.2355000,33.2370000,3388000
USD000000TOD,1,20131204,124600,33.2370000,33.2415000,33.2370000,33.2415000,199000
USD000000TOD,1,20131204,124700,33.2450000,33.2490000,33.2425000,33.2480000,6838000
USD000000TOD,1,20131204,124800,33.2480000,33.2500000,33.2445000,33.2475000,19428000
USD000000TOD,1,20131204,124900,33.2465000,33.2465000,33.2440000,33.2440000,1900000
USD000000TOD,1,20131204,125000,33.2460000,33.2480000,33.2460000,33.2465000,2773000
USD000000TOD,1,20131204,125100,33.2480000,33.2480000,33.2430000,33.2445000,675000
USD000000TOD,1,20131204,125200,33.2440000,33.2465000,33.2440000,33.2465000,472000
USD000000TOD,1,20131204,125300,33.2425000,33.2425000,33.2345000,33.2345000,3168000
USD000000TOD,1,20131204,125400,33.2420000,33.2450000,33.2420000,33.2425000,384000
USD000000TOD,1,20131204,125500,33.2405000,33.2440000,33.2400000,33.2440000,1511000
USD000000TOD,1,20131204,125600,33.2370000,33.2390000,33.2370000,33.2390000,26000
USD000000TOD,1,20131204,125700,33.2370000,33.2400000,33.2365000,33.2365000,1278000
USD000000TOD,1,20131204,125800,33.2365000,33.2400000,33.2365000,33.2400000,1978000
USD000000TOD,1,20131204,125900,33.2390000,33.2410000,33.2390000,33.2410000,3420000
USD000000TOD,1,20131204,130000,33.2415000,33.2415000,33.2380000,33.2380000,1532000
USD000000TOD,1,20131204,130100,33.2395000,33.2465000,33.2385000,33.2415000,7136000
USD000000TOD,1,20131204,130200,33.2465000,33.2470000,33.2380000,33.2380000,4092000
USD000000TOD,1,20131204,130300,33.2400000,33.2450000,33.2355000,33.2450000,2448000
USD000000TOD,1,20131204,130400,33.2425000,33.2425000,33.2360000,33.2385000,342000
USD000000TOD,1,20131204,130500,33.2385000,33.2385000,33.2345000,33.2345000,237000
USD000000TOD,1,20131204,130600,33.2350000,33.2390000,33.2345000,33.2355000,1704000
USD000000TOD,1,20131204,130700,33.2385000,33.2390000,33.2385000,33.2385000,91000
USD000000TOD,1,20131204,130800,33.2390000,33.2400000,33.2390000,33.2400000,193000
USD000000TOD,1,20131204,130900,33.2455000,33.2455000,33.2450000,33.2455000,802000
USD000000TOD,1,20131204,131000,33.2465000,33.2465000,33.2400000,33.2405000,3780000
USD000000TOD,1,20131204,131100,33.2425000,33.2450000,33.2410000,33.2410000,1264000
USD000000TOD,1,20131204,131200,33.2405000,33.2425000,33.2400000,33.2400000,1418000
USD000000TOD,1,20131204,131300,33.2445000,33.2450000,33.2445000,33.2450000,11947000
USD000000TOD,1,20131204,131400,33.2450000,33.2465000,33.2450000,33.2465000,1884000
USD000000TOD,1,20131204,131500,33.2465000,33.2480000,33.2450000,33.2450000,2188000
